%OpenBCI Raw EEG Data % %Sample Rate = 250.0 Hz %First Column = SampleIndex %Other Columns = EEG data in microvolts,,,,,,,,,,,,,,,,
-19,120.65,12.79,228.14,493.88,-1.79,568.94,-67.75,410.47,120.65,12.79,228.14,493.88,-1.79,568.94,-67.75,410.47
-18,67.95,8.67,127.9,279.44,-16.41,319.23,-56.68,229.06,67.95,8.67,127.9,279.44,-16.41,319.23,-56.68,229.06
-17,30.09,14.08,23.87,89.65,-16.09,93.99,-41.73,66.36,30.09,14.08,23.87,89.65,-16.09,93.99,-41.73,66.36
-16,-19,7.02,-74.54,-118.58,-34.78,-149.78,-37.33,-109.99,-19,7.02,-74.54,-118.58,-34.78,-149.78,-37.33,-109.99
-15,-52.84,18.26,-172.26,-305.03,-34.18,-372.85,-17.37,-269.65,-52.84,18.26,-172.26,-305.03,-34.18,-372.85,-17.37,-269.65
-14,-109.59,15.6,-262.95,-507.97,-56.28,-609.04,-7.35,-436.13,-109.59,15.6,-262.95,-507.97,-56.28,-609.04,-7.35,-436.13
-13,-135.63,25.06,-352.76,-679.09,-56.86,-810.45,11.29,-576.88,-135.63,25.06,-352.76,-679.09,-56.86,-810.45,11.29,-576.88
-12,-186.06,14.15,-440.87,-869.21,-80.62,-1028.83,15.51,-736.69,-186.06,14.15,-440.87,-869.21,-80.62,-1028.83,15.51,-736.69
-11,-224.84,20.23,-531.52,-1033.05,-73,-1225.21,35.85,-875.54,-224.84,20.23,-531.52,-1033.05,-73,-1225.21,35.85,-875.54
-10,-266.77,6.62,-609.53,-1217.07,-87.53,-1437.22,46.31,-1028.36,-266.77,6.62,-609.53,-1217.07,-87.53,-1437.22,46.31,-1028.36
-9,-295.13,15.67,-689.93,-1363.64,-82.3,-1612.19,66.88,-1155.99,-295.13,15.67,-689.93,-1363.64,-82.3,-1612.19,66.88,-1155.99
-8,-350.45,5.63,-770.31,-1536.82,-107.65,-1816.5,69.09,-1300.92,-350.45,5.63,-770.31,-1536.82,-107.65,-1816.5,69.09,-1300.92
-7,-372.74,5.81,-839.46,-1679.73,-103.73,-1988.52,93.83,-1419.02,-372.74,5.81,-839.46,-1679.73,-103.73,-1988.52,93.83,-1419.02
-6,-422.69,-4.02,-913.29,-1843.15,-126.58,-2177.53,101.52,-1556.22,-422.69,-4.02,-913.29,-1843.15,-126.58,-2177.53,101.52,-1556.22
-5,-487.69,9.54,-1051.25,-2136.49,-141.84,-2520.87,128.16,-1798.85,-487.69,9.54,-1051.25,-2136.49,-141.84,-2520.87,128.16,-1798.85
-4,-510.8,24.25,-1120.74,-2269.35,-143.12,-2677.18,146.09,-1910.94,-510.8,24.25,-1120.74,-2269.35,-143.12,-2677.18,146.09,-1910.94
-3,-539.93,16.99,-1195.42,-2418.1,-163.95,-2852.95,138.96,-2040.18,-539.93,16.99,-1195.42,-2418.1,-163.95,-2852.95,138.96,-2040.18
-2,-609.11,4.22,-1308.85,-2675.03,-164.49,-3158.77,157.74,-2261.48,-609.11,4.22,-1308.85,-2675.03,-164.49,-3158.77,157.74,-2261.48
-1,-639.57,6.53,-1362.99,-2794.57,-166.83,-3303.39,164.87,-2366.4,-639.57,6.53,-1362.99,-2794.57,-166.83,-3303.39,164.87,-2366.4
0,-676.48,4.07,-1427.29,-2915.07,-173.99,-3447.22,177.41,-2467.03,-676.48,4.07,-1427.29,-2915.07,-173.99,-3447.22,177.41,-2467.03
-29,-692.37,6.01,-1477.92,-3031.39,-179.6,-3579.59,190.64,-2560.01,-692.37,6.01,-1477.92,-3031.39,-179.6,-3579.59,190.64,-2560.01
-28,-709.78,7.26,-1535.63,-3139.5,-183.35,-3707.44,204.16,-2647.61,-709.78,7.26,-1535.63,-3139.5,-183.35,-3707.44,204.16,-2647.61
-27,-740.31,-0.07,-1585.32,-3251.91,-187.62,-3838.15,214.46,-2743.25,-740.31,-0.07,-1585.32,-3251.91,-187.62,-3838.15,214.46,-2743.25
